type,displacementx,displacementy,displacementz,scalex,scaley,scalez
3,-38,-10,135,4,4,4
4,-45.9305,-10,380.659,4,4,4
3,218,-10,15,4,4,4
1,-188.388,5.2,-5.75956,4,4,4
1,-220.33,5.2,-5.70962,4,4,4
1,-156.388,5.2,-5.75956,4,4,4
1,-188.388,5.2,26.2403,4,4,4
1,-188.684,5.2,-38.0498,4,4,4
1,7.33564,5.2,367.1,4,4,4
1,-122.339,5.2,352.158,4,4,4
1,-154.339,5.2,352.158,4,4,4
1,-90.3386,5.2,352.159,4,4,4
1,-122.339,5.2,384.158,4,4,4
1,-122.339,5.2,320.159,4,4,4
4,-114.349,-10,-390.966,4,4,4
3,24.89,-10,-285.998,4,4,3
