Name,posX,posY,posZ,minAABBx,minAABBy,minAABBz,maxAABBx,maxAABBy,maxAABBz,scaleX,scaleY,scaleZ,rotateAngle
Wall,5,-10,-487,-32,-10,-4,32,100,4,4,4,4,0
Wall,25,-10,-461,-4,-10,-32,4,100,32,4,4,4,90
Wall,-25,-10,-461,-4,-10,-32,4,100,32,4,4,4,270
Wall,55,-10,-429,-32,-10,-4,32,100,4,4,4,4,0
Wall,88,-10,-407,-4,-10,-32,4,100,32,4,4,4,90
Wall,-55,-10,-429,-32,-10,-4,32,100,4,4,4,4,0
Wall,-88,-10,-407,-4,-10,-32,4,100,32,4,4,4,270
Wall,88,-10,-345,-4,-10,-32,4,100,32,4,4,4,90
Wall,-88,-10,-345,-4,-10,-32,4,100,32,4,4,4,90
Wall,88,-10,-285,-4,-10,-32,4,100,32,4,4,4,90
Wall,-88,-10,-285,-4,-10,-32,4,100,32,4,4,4,90
Wall,55,-10,-255,-32,-10,-4,32,100,4,4,4,4,0
Wall,-55,-10,-255,-32,-10,-4,32,100,4,4,4,4,0
Wall,-88,-10,-255,-4,-10,-32,4,100,32,4,4,4,270
Wall,88,-10,-255,-4,-10,-32,4,100,32,4,4,4,90
Wall,55,-10,-225,-32,-10,-4,32,100,4,4,4,4,0
Wall,-55,-10,-225,-32,-10,-4,32,100,4,4,4,4,0
Wall,-88,-10,-205,-4,-10,-32,4,100,32,4,4,4,270
Wall,88,-10,-205,-4,-10,-32,4,100,32,4,4,4,90
Wall,-88,-10,-155,-4,-10,-32,4,100,32,4,4,4,270
Wall,88,-10,-155,-4,-10,-32,4,100,32,4,4,4,90
Wall,55,-10,-125,-32,-10,-4,32,100,4,4,4,4,0
Wall,-55,-10,-125,-32,-10,-4,32,100,4,4,4,4,0
Wall,25,-10,-95,-4,-10,-32,4,100,32,4,4,4,270
Wall,-25,-10,-95,-4,-10,-32,4,100,32,4,4,4,90
Wall,55,-10,-65,-32,-10,-4,32,100,4,4,4,4,0
Wall,-55,-10,-65,-32,-10,-4,32,100,4,4,4,4,0
Wall,105,-10,-65,-32,-10,-4,32,100,4,4,4,4,0
Wall,-105,-10,-65,-32,-10,-4,32,100,4,4,4,4,0
Wall,135,-10,-35,-4,-10,-32,4,100,32,4,4,4,270
Wall,-135,-10,-35,-4,-10,-32,4,100,32,4,4,4,90
Wall,135,-10,25,-4,-10,-32,4,100,32,4,4,4,270
Wall,-135,-10,25,-4,-10,-32,4,100,32,4,4,4,90
Wall,135,-10,75,-4,-10,-32,4,100,32,4,4,4,270
Wall,-135,-10,75,-4,-10,-32,4,100,32,4,4,4,90
Wall,135,-10,125,-4,-10,-32,4,100,32,4,4,4,270
Wall,-135,-10,125,-4,-10,-32,4,100,32,4,4,4,90
