type,displacementx,displacementy,displacementz,scalex,scaley,scalez
1,134.775,1.4,290.948,3,3,3
1,116.775,1.4,290.948,3,3,3
1,152.775,1.4,290.948,3,3,3
1,134.775,1.4,308.948,3,3,3
1,134.775,1.4,272.948,3,3,3
1,-267.772,1.4,308.143,3,3,3
1,-285.772,1.4,308.143,3,3,3
1,-249.772,1.4,308.143,3,3,3
1,-267.772,1.4,326.143,3,3,3
1,-267.772,1.4,290.143,3,3,3
4,-72.3567,-10,-252.511,3,3,3
4,85.2071,-10,-257.43,3,3,3
4,-223.506,-10,-252.6,3,3,3
3,-10.4143,-10,-160.621,3,3,3
3,-153.214,-10,-160.728,3,3,3
1,-76.0241,9,-108.261,4,4,4
1,-73.1092,1.4,-16.7977,3,3,3
