Name,posX,posY,posZ,minAABBx,minAABBy,minAABBz,maxAABBx,maxAABBy,maxAABBz,scaleX,scaleY,scaleZ,rotateAngle
Wall,102.279,-10,207.844,-24,-10,-3,24,100,3,3,3,3,0
Wall,125.844,-10,183.459,-3,10,-24,3,100,24,3,3,3,90
Wall,125.849,-10,135.525,-3,10,-24,3,100,24,3,3,3,90
WatchTower,120.604,-10,106.181,-7,0,-7,7,7,7,7,7,7,270
Wall,124.408,-10,76.6046,-3,10,-24,3,100,24,3,3,3,270
Wall,124.606,-10,29.102,-3,10,-24,3,100,24,3,3,3,270
Wall,54.9704,-10,207.834,-24,-10,-3,24,100,3,3,3,3,0
WatchTower,25.1439,-10,211.481,-7,0,-7,7,7,7,7,7,7,180
Barricade,6.56237,-10,216.197,-2,0,-2,2,2,2,2,2,2,270
Barricade,-7.56255,-10,216.946,-2,0,-2,2,2,2,2,2,2,270
Barricade,-21.7718,-10,216.778,-2,0,-2,2,2,2,2,2,2,270
Barricade,-145.765,-10,218.084,-2,0,-2,2,2,2,2,2,2,270
Barricade,-159.817,-10,218.704,-2,0,-2,2,2,2,2,2,2,270
Barricade,-174.594,-10,220.081,-2,0,-2,2,2,2,2,2,2,270
Wall,99.8279,-10,5.70972,-24,-10,-3,24,100,3,3,3,3,0
Wall,51.8241,-10,5.7781,-24,-10,-3,24,100,3,3,3,3,0
Wall,4.34914,-10,5.74714,-24,-10,-3,24,100,3,3,3,3,0
WatchTower,-24.8524,-10,1.03661,-7,0,-7,7,7,7,7,7,7,0
WatchTower,-180.437,-10,215.045,-7,0,-7,7,7,7,7,7,7,180
Wall,-210.876,-10,209.787,-24,-10,-3,24,100,3,3,3,3,180
Wall,-254.28,-10,209.584,-24,-10,-3,24,100,3,3,3,3,180
Wall,-277.909,-10,185.491,-3,10,-24,3,100,24,3,3,3,270
Wall,-277.685,-10,138.698,-3,10,-24,3,100,24,3,3,3,270
WatchTower,-272.903,-10,108.985,-7,0,-7,7,7,7,7,7,7,90
Wall,-277.103,-10,79.3974,-3,10,-24,3,100,24,3,3,3,90
Wall,-277.181,-10,32.0149,-3,10,-24,3,100,24,3,3,3,90
Wall,-253.692,-10,7.12878,-24,-10,-3,24,100,3,3,3,3,0
Wall,-209.508,-10,6.93216,-24,-10,-3,24,100,3,3,3,3,0
Wall,-161.247,-10,6.57927,-24,-10,-3,24,100,3,3,3,3,0
WatchTower,-132.125,-10,2.43831,-7,0,-7,7,7,7,7,7,7,0
Barricade,-114.236,-10,-2.47808,-2,0,-2,2,2,2,2,2,2,90
Barricade,-30.7826,-10,-3.94018,-2,0,-2,2,2,2,2,2,2,90
Barricade,-112.473,-10,-11.3499,-2,0,-2,2,2,2,2,2,2,0
Barricade,-112.282,-10,-25.8513,-2,0,-2,2,2,2,2,2,2,0
Barricade,-41.5613,-10,-12.1475,-2,0,-2,2,2,2,2,2,2,0
Barricade,-41.2307,-10,-26.5182,-2,0,-2,2,2,2,2,2,2,0
Barricade,-111.996,-10,-40.3097,-2,0,-2,2,2,2,2,2,2,0
Barricade,-111.365,-10,-54.6859,-2,0,-2,2,2,2,2,2,2,0
Barricade,-41.7427,-10,-40.152,-2,0,-2,2,2,2,2,2,2,0
Barricade,-41.7548,-10,-53.8111,-2,0,-2,2,2,2,2,2,2,0
Barricade,15.0623,-10,494.407,-2,0,-2,2,2,2,2,2,2,0
Barricade,15.0216,-10,480.555,-2,0,-2,2,2,2,2,2,2,0
Barricade,14.981,-10,466.703,-2,0,-2,2,2,2,2,2,2,0
Barricade,15.5885,-10,452.303,-2,0,-2,2,2,2,2,2,2,0
Barricade,14.95,-10,438.401,-2,0,-2,2,2,2,2,2,2,0
Barricade,14.9596,-10,423.951,-2,0,-2,2,2,2,2,2,2,0
Barricade,-91.0862,-10,494.481,-2,0,-2,2,2,2,2,2,2,0
Barricade,-90.8412,-10,480.034,-2,0,-2,2,2,2,2,2,2,0
Barricade,-91.193,-10,465.626,-2,0,-2,2,2,2,2,2,2,0
Barricade,-90.9476,-10,451.178,-2,0,-2,2,2,2,2,2,2,0
Barricade,-91.2987,-10,436.77,-2,0,-2,2,2,2,2,2,2,0
Barricade,-91.0528,-10,422.322,-2,0,-2,2,2,2,2,2,2,0
Barricade,-97.589,-10,406.519,-2,0,-2,2,2,2,2,2,2,90
Barricade,-81.8118,-10,406.068,-2,0,-2,2,2,2,2,2,2,90
Barricade,-67.4978,-10,405.216,-2,0,-2,2,2,2,2,2,2,90
Barricade,21.5112,-10,403.656,-2,0,-2,2,2,2,2,2,2,90
Barricade,7.03215,-10,404.35,-2,0,-2,2,2,2,2,2,2,90
Barricade,36.7671,-10,403.915,-2,0,-2,2,2,2,2,2,2,90
WatchTower,-0.542405,-10,387.838,-7,0,-7,7,7,7,7,7,7,270
WatchTower,-72.0564,-10,389.595,-7,0,-7,7,7,7,7,7,7,90
Wall,-30.2,-10,154.397,-24,-10,-3,24,100,3,3,3,3,0
Wall,-78.1999,-10,154.397,-24,-10,-3,24,100,3,3,3,3,0
Wall,-126.2,-10,154.397,-24,-10,-3,24,100,3,3,3,3,0
crate,-154.151,-10,154.881,-3,0,-3,3,3,3,3,3,3,0
crate,-3.51513,-10,153.499,-3,0,-3,3,3,3,3,3,3,0
crate,-26,-10,216.798,-3,0,-3,3,3,3,3,3,3,0
crate,-129.2,-10,216.798,-3,0,-3,3,3,3,3,3,3,0
crate,-32.4644,-10,217.021,-3,0,-3,3,3,3,3,3,3,0
crate,-124.157,-10,216.504,-3,0,-3,3,3,3,3,3,3,0
Statue,-124.906,-4,217.087,-3,0,-3,3,3,3,4,4,4,0
Statue,-32.9535,-4,216.456,-3,0,-3,3,3,3,4,4,4,0
